gt\pred    | background | 11  | 12 | 13  | 14 | 15 | 16 | 17 | 18 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 31  | 32  | 33  | 34  | 35 | 36 | 37 | 38 | 41  | 42  | 43  | 44 | 45 | 46 | 47 | 48
-----------+------------+-----+----+-----+----+----+----+----+----+----+----+----+----+----+----+----+----+-----+-----+-----+-----+----+----+----+----+-----+-----+-----+----+----+----+----+---
background |          0 | 126 |  9 |  21 | 24 | 15 |  8 | 26 | 17 |  3 |  7 |  6 | 21 | 29 | 16 | 29 | 16 |  21 |   4 |  10 |  14 | 10 |  4 | 23 | 24 |  31 |  14 |   6 | 11 | 17 |  7 | 26 | 27
        11 |          0 |  88 |  1 |   0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
        12 |          0 |   2 | 89 |   3 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |   0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
        13 |          1 |   0 |  1 | 103 |  1 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
        14 |          1 |   0 |  0 |   3 | 79 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
        15 |          0 |   0 |  0 |   0 |  5 | 80 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
        16 |          1 |   0 |  0 |   0 |  1 |  1 | 77 |  3 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
        17 |          1 |   0 |  0 |   0 |  0 |  0 |  1 | 71 |  7 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |   0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
        18 |          1 |   0 |  0 |   0 |  0 |  0 |  1 |  6 | 45 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  2 |   0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  1
        21 |          2 |   0 |  0 |   0 |  0 |  0 |  0 |  0 |  1 | 96 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
        22 |          0 |   0 |  2 |   0 |  1 |  1 |  0 |  0 |  0 |  0 | 91 |  2 |  0 |  0 |  0 |  0 |  1 |   0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
        23 |          0 |   0 |  0 |   0 |  0 |  1 |  0 |  0 |  0 |  0 |  1 | 99 |  1 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
        24 |          2 |   0 |  0 |   0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 | 82 |  1 |  0 |  0 |  0 |   0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
        25 |          1 |   0 |  0 |   0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  5 | 86 |  2 |  0 |  0 |   0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
