gt\pred    | background | 11  | 12 | 13  | 14 | 15 | 16 | 17 | 18 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 31  | 32  | 33  | 34 | 35 | 36 | 37 | 38 | 41  | 42  | 43  | 44 | 45 | 46 | 47 | 48
-----------+------------+-----+----+-----+----+----+----+----+----+----+----+----+----+----+----+----+----+-----+-----+-----+----+----+----+----+----+-----+-----+-----+----+----+----+----+---
background |          0 | 132 | 10 |  33 | 17 | 39 | 18 | 24 | 10 |  7 | 18 | 22 | 25 | 33 | 24 | 21 |  9 |  19 |  17 |  21 | 18 | 14 | 12 | 12 | 14 |  26 |  21 |  27 | 18 | 21 |  8 | 15 | 18
        11 |          0 |  89 |  0 |   0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
        12 |          1 |   3 | 90 |   1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
        13 |          1 |   0 |  1 | 105 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
        14 |          3 |   0 |  1 |   6 | 69 |  5 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
        15 |          0 |   0 |  0 |   0 |  3 | 82 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
        16 |          2 |   0 |  0 |   0 |  0 |  2 | 77 |  2 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
        17 |          2 |   0 |  0 |   0 |  0 |  0 |  6 | 61 | 11 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
        18 |          1 |   0 |  0 |   0 |  0 |  2 |  1 |  3 | 49 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  1
        21 |          2 |   0 |  0 |   0 |  0 |  1 |  0 |  0 |  0 | 96 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
        22 |          2 |   0 |  2 |   0 |  0 |  1 |  0 |  0 |  0 |  0 | 92 |  1 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
        23 |          1 |   0 |  0 |   0 |  0 |  0 |  0 |  0 |  0 |  0 |  3 | 98 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
        24 |          1 |   0 |  0 |   0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  2 | 77 |  5 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
        25 |          2 |   0 |  0 |   0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  2 |  4 | 83 |  3 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0 |   0 |   0 |   0 |  0 |  0 |  0 |  0 |  0
